pr_number,complexity_score,complexity_rationale,quality_score,quality_rationale,model_used,analyzed_at
58371,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:55:24.280628
58356,2,"The PR is a single fix that requires updating the attribute type values across multiple files (backend, frontend, logic, MCP, generated types), but no architectural or structural changes.",4,"The PR is clean, with automated checks passing, an approved review, and deployed successfully, indicating high quality albeit with automated testing only.",deepseek/deepseek-v4-flash:free,2026-05-15T00:55:46.840612
58359,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:55:50.471824
58351,3,"Multi-file backend feature gating (2 files, 113 additions) with architectural nuance (project-level vs resource-level role overrides, explicit comments).",4,"Approved by human reviewer, tested, deployed; minor test coverage gap noted but not blocking.",deepseek/deepseek-v4-flash:free,2026-05-15T00:56:31.155945
58349,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:56:42.306453
58336,2,Single-file fix—binding Kafka producer to a specific profile—trivial change.,4,"One commit, approved, deployed—no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T00:57:05.584740
58338,2,"The PR is a single-file, single-function fix adding two error codes to a retry classifier.",4,"The code is well-documented, correctly addresses a real bug, has been reviewed and approved, and deploys successfully; however, the review identified missing unit tests which lowers the score to 4.",deepseek/deepseek-v4-flash:free,2026-05-15T00:57:26.322473
58333,4,"Multi-file change touching framework, Celery, signal, and test layers, with deferred imports and architectural decisions.",5,"Agent-authored code passes tests, signal checks update_fields, user's manual repro confirms the fix eliminates the stale health issue, and the PR has clean, well-justified design decisions.",deepseek/deepseek-v4-flash:free,2026-05-15T00:57:39.174575
58328,2,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:58:19.785932
58331,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:58:25.278028
58321,1,"PR is trivial: pure deletion of a single stale markdown file, no code changes, no logic, no contract impact.",5,"PR is first-pass perfect: clean deletion with clear problem statement, no rework, approved by bot, all tests pass.",deepseek/deepseek-v4-flash:free,2026-05-15T00:58:29.020235
58322,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:59:43.997481
58318,2,The change is a single constant change in one file.,5,"The change is first-pass perfect, approved, with clear problem and testing.",deepseek/deepseek-v4-flash:free,2026-05-15T00:59:53.064426
58317,3,The PR modifies a multi-file feature (3) to restore date labels on dashboard tiles when overrides are applied and includes a fix for null handling after review feedback.,4,"The PR had an initial null-handling issue flagged in review but was clean after fix, and the unit tests and code paths were verified without changes.",deepseek/deepseek-v4-flash:free,2026-05-15T01:00:17.319885
58314,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:00:51.182168
58312,1,"The change is purely additive and declarative, adding three scope entries to two files following the existing pattern.",5,"The change was made first-pass without rework cycles, received approvals and no dismisses, and directly addressed the security concern with a disabled write action and comment.",deepseek/deepseek-v4-flash:free,2026-05-15T01:01:25.336685
58303,3,"The PR involves a revert of a revert, with 2 file changes and a diff spanning multiple sections.",4,"The PR includes a revert of a revert, with a critical bug that required a review and fall-through logic change, and the PR includes assert checks to avoid regression.",deepseek/deepseek-v4-flash:free,2026-05-15T01:01:46.114049
58301,2,PR rever,3,several comments flag reg bugs,deepseek/deepseek-v4-flash:free,2026-05-15T01:02:02.441876
58300,1,1 but it's a revert; many changes but no feature or architectural change.,1,"1 but it's a revert of a prior commit, removing useful tests.",deepseek/deepseek-v4-flash:free,2026-05-15T01:02:21.797385
58298,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:02:39.931474
58304,3,Multi-file AST slots addition requires attention to inheritance hierarchy,3,Revert-reapply cycle with snapshot updates indicates some revisions,deepseek/deepseek-v4-flash:free,2026-05-15T01:03:06.161360
58289,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:03:16.400710
58282,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:04:30.166301
58288,2,"Multi-file flag consolidation, not architecturally significant.",4,"Clearently approved without discussed, minimal rework.",deepseek/deepseek-v4-flash:free,2026-05-15T01:05:05.182901
58269,4,"Multi-file feature requiring careful architectural changes for caching, frame-walk detection, metrics",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:05:30.032446
58267,4,"The PR is clean with thorough benchmarks, all tests pass, and only minor review suggestions (assert vs raise under -O), but it was not first-pass perfect.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:05:40.173499
58273,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:06:23.065372
58265,1,one-line addition of a soft CODEOWNERS entry with no production logic changes.,5,"first-pass perfect, approved by team member, deployed successfully with no revisions.",deepseek/deepseek-v4-flash:free,2026-05-15T01:07:05.066957
58266,3,is 3,3,is 3,deepseek/deepseek-v4-flash:free,2026-05-15T01:07:05.693427
58264,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:07:17.756630
58261,1,"A one-line prop swap across 8 files with no logic, API, or data model changes",5,"First-pass perfect, approved by bots, no rework cycles",deepseek/deepseek-v4-flash:free,2026-05-15T01:07:23.932807
58263,2,Single fix across 7 files: same bug in each,4,"Approved and clean, mechanical conversion following proven fix",deepseek/deepseek-v4-flash:free,2026-05-15T01:07:44.960021
58254,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:07:52.232484
58253,5,"The PR is a major feature adding 2170 lines across 14 files, including a new query runner, API endpoint, client wrapper, and schema updates.",3,"The PR underwent multiple review cycles addressing significant bugs including precision errors, data races, and filter translations, but was not reverted.",deepseek/deepseek-v4-flash:free,2026-05-15T01:08:21.993113
58255,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:08:22.134160
58249,2,"The PR is small, targeted bugfix with two null-guards, no new feature, and no architectural change.",4,"One revision was made to use parameterized tests based on reviewer suggestion, but the fix is clean, approved, and tested.",deepseek/deepseek-v4-flash:free,2026-05-15T01:09:36.517076
58238,2,"Single-file fix for a Temporal bug, straightforward change.",5,First-pass perfect with all reviews approved and no rework cycles.,deepseek/deepseek-v4-flash:free,2026-05-15T01:10:05.682043
58234,3,"This PR involves a timing bug in a multi-file context (surveyWizardLogic, surveyLogic) and requires understanding of lifecycle hooks and URL hash parameters, making it moderate complexity.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:10:18.342940
58226,3,28,3,"The PR had multiple revision cycles (e.g., fixing OTel API usage, adding auth.matched attributes, parameterizing tests) before reaching a clean state.",deepseek/deepseek-v4-flash:free,2026-05-15T01:10:29.274981
58219,2,trivial docs,2,many rework cycles,deepseek/deepseek-v4-flash:free,2026-05-15T01:11:23.288139
58212,3,"The PR is a multi-file refactor that adds a compression output cap and new error type, spanning 4 files across feature flags and common compression, but is still moderate complexity",4,"The PR has complete tests for the new cap, careful handling of overflow, clear documentation of threat model, and received approvals with only minor coding issues noted",deepseek/deepseek-v4-flash:free,2026-05-15T01:11:31.139865
58209,3,Multi-file feature adding separate bulk connection pools.,3,Code required 2-3 revision cycles after initial review feedback.,deepseek/deepseek-v4-flash:free,2026-05-15T01:11:41.638838
58204,2,"This PR is a simple, single-purpose fix involving a rename across three files.",5,"The change was clean, properly tested, passed all CI checks, and was approved on the first pass—a model of a perfect, low-risk improvement.",deepseek/deepseek-v4-flash:free,2026-05-15T01:11:54.865493
58217,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:11:59.725678
58202,3,Two-file change altering metrics logic and expanding rdkafka error code tags.,3,Approved with minor comment fix and deployed on multiple environments.,deepseek/deepseek-v4-flash:free,2026-05-15T01:12:10.061533
58203,4,"One human reviewer approved with one comment; bot reviews flagged several medium-severity issues, one was fixed inline",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:12:14.364126
58196,2,"The change is a straightforward single-file, two-line addition wiring the hasUnsavedInput prop to LemonModal, with well-documented dirtiness semantics.",5,"The PR was first-pass perfect with no revisions needed, was clearly approved, and has a comprehensive description of the problem, solution, and testing steps.",deepseek/deepseek-v4-flash:free,2026-05-15T01:12:24.130113
58195,3,"The PR involves multiple file changes (2 files) and introduces a new workflow classification that modifies the skill's behavior, but is not a major architectural change—it's a chore optimizing session URL handling.",3,"The PR went through several revision cycles with comments from reviewers addressing formatting and contradictions, though it was ultimately approved and deployed.",deepseek/deepseek-v4-flash:free,2026-05-15T01:12:33.525939
58200,3,This is a multi-file feature that adds a new skill guide for adding an RPC to the personhog cluster.,3,The PR is approved but has multiple rounds of review feedback and discussion.,deepseek/deepseek-v4-flash:free,2026-05-15T01:12:50.830457
58189,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:13:01.518780
58192,2,"First-pass clean with tests, well described, minimal scope, approved.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:13:05.795177
58188,3,Multi-file feature adding variants to the Progress component.,3,PR has unresolved design discussions and code review concerns about accessibility and chroma.,deepseek/deepseek-v4-flash:free,2026-05-15T01:13:52.185242
58186,3,Multiple code review comments and discussion indicates flaws requiring fixes before final approval.,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:13:57.414304
58184,3,"Multi-file, moderate detail (4 files, 326 added, 201 removed, 4 files) changes across monitoring skill files.",4,"Approved quickly, deployed cleanly across dev and prod, with only minor inline feedback that was addressed.",deepseek/deepseek-v4-flash:free,2026-05-15T01:14:05.637819
58187,4,"The PR passed automated tests (94 tests), deployed across dev and prod, and the review feedback was addressed via a follow-up commit.",5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:14:10.233950
58181,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:14:16.165653
58180,1,3,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:15:53.285363
58172,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:15:58.648189
58169,3,"3: Multi-file feature across 2 files; adds a config field, validation, and logic to a shared Dagster op.",5,"5: First-pass perfect with thorough tests, approval, and no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:16:03.015213
58174,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:16:04.316735
58168,2,The change is a single-function bug fix spread across one production file and one test file.,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:16:11.184129
58164,3,Multi-file change with a small architectural gating of a feature to avoid noise.,4,"PR with one approval, clean description, and only a minor test improvement suggestion.",deepseek/deepseek-v4-flash:free,2026-05-15T01:16:23.857007
58161,2,"Single-file, one-line change that adds a missing dependency to a React useEffect hook.",4,"Approved by a reviewer after a clean, minimal single-line fix with clear rationale and no reverted/rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:16:28.056695
58163,3,"2-3 revisions indicated by bot reviews pointing out issues (RecordingsQuery bypassing, superfluous assertion, duplicate fixture).",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:16:54.999817
58160,3,"Multi-file bug fix that introduces a new helper and modifies three components, but is a focused single-issue change.",5,"First-pass perfect, all tests are green, review approved, no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:17:00.101476
58159,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:17:01.525788
58147,3,"The PR is a multi-file (13 files) extraction and deduping of shared helpers across hog-charts library, but within a single library, and not an architectural change",5,"This PR received approval, has detailed thorough description, verification plan, and test plan, and did not require rework cycles",deepseek/deepseek-v4-flash:free,2026-05-15T01:17:09.617815
58158,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:17:12.525427
58140,3,"The PR was approved with minor comments that were addressed, and no revert.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:17:23.668840
58139,2,"The code was clean, properly typed, approved by a reviewer, and deployed successfully with no reveral.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:17:27.757096
58136,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:18:00.664086
58130,4,"Multi-file feature with new UI app, extended chart palette, type inference changes, and a tricky date formatting fix.",4,First-pass perfect after addressing code review issues raised by Greptile. Reviewer approval and deployment success.,deepseek/deepseek-v4-flash:free,2026-05-15T01:18:11.150942
58146,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:18:11.673080
58128,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:18:18.889724
58127,2,This is a single-file fix involving three added lines across two files to copy a missing bundle.,5,"The PR is well-documented, thoroughly tested end-to-end, approved by a reviewer, and deployed with no issues.",deepseek/deepseek-v4-flash:free,2026-05-15T01:18:26.587728
58129,3,"The changes are small, adding a gated validation to the schema in a focused way.",4,"The quality is clean with good test coverage and safe flags, despite minor naming issues.",deepseek/deepseek-v4-flash:free,2026-05-15T01:18:39.065410
58124,4,Clean after multiple revisions addressing inline concerns.,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:18:44.266871
58120,2,Clean removal with multiple automated reviews confirm correctness.,4,"Automated reviews passed, no regions identified, but the PR also lacks human-in-the loop.",deepseek/deepseek-v4-flash:free,2026-05-15T01:19:36.320957
58123,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:19:49.576516
58119,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:19:50.394621
58118,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:20:01.575837
58117,3,"Multi-file change touching config, script, and documentation, but three revisions needed.",2,"Multiple revisions required, with rework cycles addressing flaws introduced in first pass.",deepseek/deepseek-v4-flash:free,2026-05-15T01:20:10.158556
58116,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:20:33.120760
58113,2,"This is a single file, four-line removal of a CODEOWNERS entry that is trivial and non-functional.",5,"The PR was approved by two reviewers, deployed to all environments, and the author's description makes thorough verification via git diff.",deepseek/deepseek-v4-flash:free,2026-05-15T01:20:50.526741
58112,2,"The change is a small, single-file URL redirect fix.",4,The PR was approved quickly with no rework and deployed successfully.,deepseek/deepseek-v4-flash:free,2026-05-15T01:21:10.597915
58114,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:21:26.300665
58100,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:21:30.063028
58111,3,"This is a multi-file feature that modifies two files (85 added, 15 removed) and introduces a new RuntimeError logic to handle soft-failure cases in the FF response for the PoE backfill.",4,"The PR is clean, well-explained, tested thoroughly (+6 new cases, 17 passed), deployed in dev & prod, and despite one gate denial (which is automated approval blocked) and some rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:21:30.794305
58095,4,"This is an architectural change involving lazy-loading of the authenticated shell, reusing chunk-load error boundaries, and multiple file changes.",3,"The PR was accepted after several revisions addressing all comments from automated reviews and a human approval - however, the iterative nature and the rework cycles suggest it wasn't a first-pass perfect change.",deepseek/deepseek-v4-flash:free,2026-05-15T01:21:46.942476
58097,1,1.5,1,1,deepseek/deepseek-v4-flash:free,2026-05-15T01:22:04.974862
58093,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:22:23.876161
58094,4,Multi-file feature addition with architectural changes to backend logic.,3,"PR had many reviews and fixes, but no reverted/broken state.",deepseek/deepseek-v4-flash:free,2026-05-15T01:23:09.034406
58092,3,"The PR is clean after one revision addressing all review feedback, with all bot comments resolved and follow-up commits applied.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:23:23.840326
58089,4,"Architectural refactor with vendoring, moving types, removing imports, handling review feedback across logically connected changes across work.",4,"Multiple bot feedback, bestreview addressed, test operations, clarity, reexportory, test operations, clarity, reexport time, one review cycle configuration.",deepseek/deepseek-v4-flash:free,2026-05-15T01:23:29.019571
58091,2,The PR is a trivial single-file defensive fix wrapping settings components in an existing ErrorBoundary.,5,"The PR was approved on first-pass and is clearly explained, tested, and purely additive.",deepseek/deepseek-v4-flash:free,2026-05-15T01:23:42.780925
58087,3,The fix required understanding placeholder resolution in backend parse_select and implementing a 3-file frontend change.,4,"The fix is technically correct with tests, but needed several review iterations to align comments and code.",deepseek/deepseek-v4-flash:free,2026-05-15T01:24:20.305298
58077,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:24:28.451571
58075,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:24:38.581895
58074,3,"Multi-file feature (3 files) involving new component wiring to existing logic, a 'pure frontend composition' (3).",4,"Clean, addressed substantive review concerns inline, merged, but had 4 review cycles (non-3).",deepseek/deepseek-v4-flash:free,2026-05-15T01:24:47.812016
58085,2,The change is a single-line prop addition with a test.,4,Clean with approvals and focused test.,deepseek/deepseek-v4-flash:free,2026-05-15T01:25:09.148456
58072,4,4,3,3,deepseek/deepseek-v4-flash:free,2026-05-15T01:25:13.182944
58070,4,"The PR has a clear description, an approval, and reasonable testing (manual + snapshot updates), but the quality score is 4 because of the multiple Greptile review rounds with a repeated issue (duplicated serializer) and a reviewer comment about read-only serialiser vs writable.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:25:34.727476
58068,2,"Single-file performance optimization replacing allocation-heavy pattern with short-circuit, plus test additions.",4,"Clean implementation approved first-pass, only minor test style suggestion.",deepseek/deepseek-v4-flash:free,2026-05-15T01:25:39.253761
58071,3,moderate multi-file feature with focused optimizations requiring investigation.,3,"PR went through QA swarm comments and a rework cycle before final approval, indicating 2-3 revisions.",deepseek/deepseek-v4-flash:free,2026-05-15T01:25:54.603001
58067,2,Single revert fix—rest if Tailwind CLI wather; 4 files.,4,"One approval, clean diff with testing steps; unrelated issues.",deepseek/deepseek-v4-flash:free,2026-05-15T01:26:13.998195
58065,4,Architectural migration: routing person/group data to personhog gRPC with custom pagination.,4,Clean after 5 review cycles addressing precision and schema issues.,deepseek/deepseek-v4-flash:free,2026-05-15T01:26:22.428479
58062,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:26:48.878533
58064,3,"Multi-file change with abstraction to normalize cursor descriptions, and targeted bug fix with diagnosis.",4,"Clean, well-diagnosed fix with tested regression tests and proper validation.",deepseek/deepseek-v4-flash:free,2026-05-15T01:26:53.325742
58061,3,"Fetch if flag gated, new dependency, multi-file feature, but not architectural.",4,Clean with one approval after minor iterations.,deepseek/deepseek-v4-flash:free,2026-05-15T01:26:59.433711
58055,3,"This PR required a multi-file refactor to a visualization bug, involving a new helper function and changes to layout logic.",4,"This PR was well-tested, had a clear diagnosis, and was clean enough to be approved with minor suggestions.",deepseek/deepseek-v4-flash:free,2026-05-15T01:27:40.528927
58054,3,Multi-file feature with 3 files changed and moderate logic changes.,4,"One human approval, reasonable small fix, tested, deployed.",deepseek/deepseek-v4-flash:free,2026-05-15T01:27:53.460740
58058,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:27:59.377678
58051,3,The change touches multiple product areas but is a single-file CODEOWNERS expansion with 31 additions.,5,"The change was approved on first pass, no reverted, and deployed to all environments.",deepseek/deepseek-v4-flash:free,2026-05-15T01:28:26.889703
58052,4,"Multi-file change with architectural implications (manager routing and migration), although conceptually straightforward.",4,"Clean implementation with clear rationale, reverted app, and solid maintainability.",deepseek/deepseek-v4-flash:free,2026-05-15T01:28:47.775885
58044,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:28:51.673990
58043,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:28:57.052328
